ID,y_2011,y_2013,y_2015
2,119,95,78
3,241,261,233
4,32,22,22
5,103,87,74
6,294,280,220
7,44,30,35
8,75,99,63
9,49,45,22
10,391,358,302
11,103,58,86
12,107,129,86
13,155,174,121
14,95,125,126
15,102,74,85
16,337,352,253
17,237,237,204
18,105,101,71
19,133,82,67
20,57,85,76
21,175,127,114
22,105,80,86
23,69,97,44
24,46,64,23
25,87,75,82
26,90,80,67
27,143,114,93
28,38,56,30
29,50,60,31
30,183,145,164
31,23,31,44
32,16,10,12
33,6,20,13
34,222,223,184
35,141,159,93
36,111,107,79
37,233,150,147
38,81,100,149
39,123,146,152
40,240,208,175
41,103,75,53
42,53,62,98
43,84,54,42
44,24,27,20
45,59,42,54
46,91,66,41
47,21,9,7
48,88,120,84
49,134,140,117
50,176,148,107
51,73,62,78
52,168,133,95
53,178,219,134
54,186,213,87
55,92,92,79
56,52,72,60
57,46,62,25
58,82,56,60
59,177,129,99
60,65,82,70
61,70,45,36
62,10,15,10
64,134,92,80
65,25,18,17
66,39,59,44
67,18,20,17
68,80,109,81
69,30,17,10
70,143,89,79
71,86,136,76
72,83,84,77
73,166,217,173
74,46,38,42
75,17,25,23
76,81,79,56
77,140,120,117
78,58,63,56
79,42,28,23
80,38,21,49
81,39,26,18
82,56,50,36
83,135,129,93
84,46,68,37
85,151,271,200
86,78,65,66
87,75,61,48
88,166,187,123
89,94,68,120
90,136,124,94
91,152,125,88
92,26,41,40
93,29,33,25
94,106,102,98
95,75,63,88
96,125,189,125
97,129,123,78
98,124,115,141
99,88,108,68
100,153,168,172
101,51,62,54
102,113,102,107
103,83,85,46
105,25,31,43
106,41,63,64
107,65,63,46
108,,29,96
109,88,65,55
110,62,80,66
111,84,126,64
112,73,72,82
113,174,176,186
114,89,151,92
115,77,71,78
116,,,
117,171,139,94
118,,20,42
119,100,125,118
120,95,104,85
121,192,238,153
122,,,
123,117,122,112
124,194,225,201
125,237,205,158
126,8,7,11
127,114,87,106
128,266,295,204
129,35,48,42
130,58,49,46
131,89,58,72
132,26,50,38
133,40,38,14
134,64,83,60
135,42,42,33
136,70,45,48
137,105,127,144
138,93,128,129
139,116,126,85
140,188,229,198
141,105,110,91
142,255,205,110
143,22,56,30
144,,,
145,,,
146,90,97,113
147,114,93,103
148,56,43,37
149,7,16,13
150,126,97,78
151,56,64,45
152,56,25,29
153,74,74,57
154,79,82,66
155,127,137,92
156,136,148,160
157,122,163,81
158,219,243,200
159,117,119,70
160,237,270,195
161,69,94,53
162,163,139,151
163,61,19,34
164,243,234,139
165,71,124,107
166,45,49,43
167,41,44,49
168,134,162,134
169,22,31,63
170,38,40,11
171,48,29,27
172,44,71,55
173,87,104,61
174,150,111,131
175,59,67,53
176,76,53,69
177,51,40,45
178,49,61,69
179,26,29,27
180,86,74,98
181,82,109,71
182,91,86,44
183,68,52,65
184,37,39,51
185,87,76,38
186,167,158,131
187,16,32,35
188,39,20,18
189,12,26,12
190,75,111,96
191,54,66,59
192,74,119,71
193,64,34,37
194,,35,40
195,66,45,45
196,114,171,118
197,165,99,84
198,39,62,53
199,126,151,94
200,9,13,35
201,56,58,49
202,139,159,113
203,60,106,45
204,41,63,64
205,10,13,17
206,15,18,14
207,44,25,27
208,33,40,44
209,96,122,166
210,31,34,56
211,97,114,95
212,80,83,100
213,54,37,37
215,38,38,22
216,15,42,24
217,34,74,90
218,92,97,61
219,60,70,77
220,,,
221,79,83,73
222,36,24,39
223,200,177,109
224,63,78,36
225,48,51,40
226,41,49,26
227,145,102,83
228,18,33,20
229,174,253,189
230,129,122,92
231,75,57,85
232,140,92,74
233,44,56,52
234,288,240,138
235,91,43,41
236,23,24,19
237,199,202,211
238,196,183,142
240,133,136,128
241,45,65,32
242,47,42,35
243,9,13,12
244,105,122,80
245,56,55,36
246,91,109,120
247,55,43,34
248,87,84,68
249,63,68,34
250,79,53,34
251,45,57,64
252,20,45,14
253,41,21,25
254,36,29,36
255,55,104,37
256,55,51,61
257,63,70,78
258,197,240,175
259,136,108,70
260,185,242,188
261,94,125,99
262,56,113,78
263,66,51,63
264,34,38,56
265,78,65,34
266,124,89,90
267,136,116,105
268,141,203,106
269,101,61,83
270,77,37,28
271,120,123,74
272,36,40,51
273,43,43,38
274,4,16,16
275,37,60,34
276,58,84,44
277,49,63,55
278,11,24,32
279,17,33,48
280,242,218,165
281,22,26,33
282,265,75,78
283,160,118,77
284,22,21,8
285,,,
286,35,42,31
287,,25,102
288,,7,50
289,169,100,82
290,159,172,82
291,76,86,71
292,83,75,75
293,123,128,78
294,93,113,78
295,67,46,59
296,31,47,34
297,4,4,4
298,,,
299,125,102,107
300,,,
301,78,67,66
302,68,48,46
303,31,45,32
304,54,36,44
305,56,66,60
306,78,45,52
307,110,159,119
308,36,18,23
309,47,74,34
310,72,88,62
311,185,186,80
312,95,111,131
313,79,64,53
314,156,148,113
315,72,32,60
316,159,178,141
317,102,94,107
318,88,84,38
319,249,227,167
320,36,70,43
321,121,152,83
322,101,99,68
323,273,194,238
324,80,68,63
325,141,195,115
326,107,118,88
327,164,163,78
328,58,77,92
329,96,74,55
330,115,136,67
331,65,132,123
332,71,94,49
333,174,204,152
334,3,11,13
335,,18,41
336,101,161,129
337,70,53,23
338,64,70,42
339,20,39,18
340,74,81,101
341,103,66,242
342,55,53,49
343,119,134,119
344,139,132,147
345,63,77,71
346,208,235,225
347,83,108,57
348,117,139,160
349,24,28,25
350,30,35,48
351,38,18,20
352,75,45,62
353,70,72,61
354,38,47,34
355,29,30,33
356,66,81,61
357,81,72,68
358,111,79,62
359,65,51,71
360,195,240,228
361,163,195,164
362,187,250,171
363,360,444,227
364,71,77,81
365,110,124,107
366,138,146,129
367,175,165,149
368,,,
369,147,202,125
370,172,229,150
371,820,681,480
372,315,207,199
373,96,87,94
374,316,290,269
375,45,43,55
376,158,152,193
377,131,129,135
378,299,170,222
379,57,79,52
380,118,146,116
381,182,122,113
382,265,215,199
383,247,215,184
384,73,52,49
385,491,569,407
386,207,233,115
387,310,315,276
388,181,196,139
389,547,491,421
390,94,75,83
391,83,47,45
392,160,155,188
393,236,248,203
394,99,158,98
395,,5,61
396,,,
397,,,20
398,,19,24
399,,,30
400,,2,65
401,,3,51
402,,5,33
403,,,
404,,360,85
405,,107,58
406,,,
407,,,
408,,,
409,,163,77
410,,34,31
411,,30,26
412,,,
413,,,
416,,,
417,,,
418,,,
419,,,
420,,,
421,,,
422,,,
423,,,
424,,,
425,,,
426,,7,74
428,,,
430,,,
431,,,
432,,4,51
433,,1,20
434,,,
435,,,
436,,,
437,,,
438,,35,31
442,,,
443,,,
444,,,
445,,,
446,,,
447,,,
448,,135,53
449,,128,65
450,,,
451,,30,48
452,,,
453,,,
454,,,
455,,,
456,,,7
457,,1,31
458,,58,18
459,,12,53
460,,5,125
462,,,
463,,,
464,,,
465,,1,27
466,,,
467,,,
468,,1,1
469,,13,32
470,,35,42
471,,99,66
472,,109,16
473,,49,43
474,,123,69
475,,9,35
