id,y_2017,y_2018
2,0,0
3,18,17
4,4,4
5,0,0
6,0,0
7,4,3
8,1,0
9,0,1
10,4,3
11,5,4
12,0,0
13,1,1
14,4,5
15,6,2
16,0,0
17,3,3
18,3,4
19,2,3
20,1,1
21,0,0
22,0,0
23,0,0
24,1,1
25,1,1
26,2,2
27,0,1
28,5,3
29,2,2
30,1,1
31,5,4
32,0,0
33,1,0
34,1,1
35,2,2
36,1,1
37,1,1
38,0,0
39,0,0
40,1,1
41,0,0
42,2,2
43,1,1
44,1,1
45,5,5
46,0,0
47,0,0
48,0,0
49,1,1
50,0,0
51,4,4
52,0,0
53,0,0
54,0,0
55,2,1
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,1,1
64,0,1
65,2,2
66,1,1
67,0,0
68,0,0
69,0,0
70,2,3
71,0,0
72,0,0
73,2,1
74,3,1
75,1,1
76,0,0
77,3,3
78,0,0
79,0,0
80,2,1
81,0,0
82,2,2
83,0,0
84,0,0
85,1,1
86,1,1
87,3,4
88,0,0
89,1,1
90,1,0
91,1,2
92,1,1
93,3,3
94,0,1
95,2,1
96,2,1
97,2,3
98,0,0
99,1,1
100,2,2
101,1,1
102,0,0
103,0,0
105,1,2
106,0,0
107,0,0
108,0,0
109,2,0
110,0,0
111,1,2
112,0,0
113,1,2
114,0,0
115,3,3
116,1,1
117,0,1
118,3,3
119,0,0
120,0,0
121,0,1
122,,
123,3,3
124,0,0
125,1,1
126,2,4
127,0,0
128,0,0
129,2,1
130,1,1
131,0,1
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,1,0
138,1,1
139,0,0
140,1,1
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,1,0
147,0,0
148,4,3
149,0,0
150,0,0
151,1,2
152,0,0
153,1,1
154,1,2
155,0,0
156,0,1
157,1,3
158,1,1
159,0,0
160,0,0
161,1,1
162,1,1
163,0,0
164,1,1
165,2,2
166,0,0
167,0,0
168,1,1
169,0,0
170,0,2
171,1,1
172,1,3
173,0,0
174,3,3
175,2,2
176,5,3
177,0,0
178,0,0
179,2,3
180,0,0
181,3,3
182,0,0
183,0,0
184,8,7
185,0,0
186,1,1
187,0,0
188,3,3
189,0,0
190,0,0
191,1,1
192,3,2
193,0,0
194,3,2
195,2,0
196,3,3
197,0,0
198,3,4
199,1,1
200,2,1
201,1,1
202,0,0
203,1,1
204,0,0
205,0,0
206,0,0
207,2,3
208,3,3
209,3,3
210,1,1
211,3,3
212,0,0
213,3,3
215,2,1
216,2,1
217,1,1
218,2,0
219,1,0
220,0,0
221,2,1
222,1,2
223,0,0
224,2,1
225,0,0
226,0,0
227,1,1
228,0,0
229,0,0
230,2,2
231,0,0
232,0,0
233,3,1
234,4,3
235,2,2
236,0,0
237,0,0
238,2,1
240,2,2
241,3,2
242,0,1
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,1,1
249,0,0
250,1,1
251,0,1
252,0,0
253,1,0
254,0,0
255,2,2
256,6,6
257,1,1
258,0,0
259,0,0
260,3,2
261,1,0
262,1,1
263,1,1
264,0,2
265,0,0
266,2,3
267,0,1
268,0,0
269,3,3
270,2,1
271,4,1
272,0,0
273,0,0
274,0,0
275,5,3
276,1,0
277,0,1
278,2,1
279,0,0
280,0,0
281,0,0
282,0,0
283,0,0
284,0,0
285,,
286,0,0
287,1,1
288,3,1
289,3,2
290,1,1
291,0,0
292,0,0
293,1,0
294,0,0
295,0,1
296,2,2
297,0,0
298,1,0
299,1,2
300,0,0
301,2,2
302,1,0
303,0,0
304,0,0
305,0,0
306,0,0
307,0,0
308,1,1
309,0,0
310,1,1
311,4,6
312,1,1
313,0,0
314,0,0
315,4,4
316,0,0
317,2,2
318,3,3
319,0,0
320,2,2
321,0,0
322,0,1
323,1,1
324,1,1
325,5,3
326,0,0
327,0,0
328,0,0
329,1,1
330,2,4
331,0,0
332,0,0
333,1,3
334,0,0
335,3,2
336,2,2
337,2,1
338,1,2
339,1,2
340,13,10
341,2,4
342,5,5
343,3,3
344,3,2
345,0,0
346,0,0
347,2,1
348,2,1
349,1,1
350,0,0
351,2,2
352,1,1
353,2,3
354,0,0
355,0,0
356,3,3
357,0,0
358,8,8
359,1,1
360,0,0
361,2,2
362,0,0
363,3,4
364,3,4
365,1,1
366,1,1
367,6,7
368,1,1
369,0,0
370,0,0
371,1,2
372,7,6
373,1,2
374,1,0
375,2,2
376,1,1
377,4,5
378,18,15
379,0,0
380,7,8
381,3,2
382,2,2
383,0,1
384,8,10
385,2,2
386,2,2
387,1,1
388,5,5
389,5,4
390,0,1
391,4,4
392,10,10
393,4,5
394,0,0
395,0,1
396,1,1
397,0,0
398,3,3
399,2,2
400,0,2
401,2,2
402,0,0
403,1,1
404,3,3
405,4,4
406,3,4
407,1,0
408,0,0
409,10,11
410,1,4
411,1,0
412,1,2
413,0,0
416,1,1
417,2,3
418,1,2
419,3,2
420,1,1
421,1,0
422,1,0
423,0,1
424,2,1
425,1,1
426,1,2
428,1,1
430,2,1
431,0,0
432,3,2
433,1,2
434,4,2
435,0,0
436,3,2
437,4,1
438,6,10
442,2,2
443,0,0
444,0,0
445,1,2
446,1,1
447,1,0
448,4,5
449,8,7
450,2,3
451,1,0
452,2,2
453,5,5
454,0,0
455,0,0
456,0,0
457,1,0
458,0,0
459,1,0
460,0,0
462,1,1
463,0,0
464,0,0
465,2,2
466,1,0
467,0,0
468,0,0
469,1,1
470,8,8
471,6,4
472,6,6
473,1,0
474,4,2
475,4,2
