id,y_1990,y_2000,y_2010
37063000101,1918,1969,1835
37063000102,2714,3066,2423
37063000200,1923,2147,2012
37063000301,1504,1592,1561
37063000302,2412,2320,2450
37063000401,1920,2032,1977
37063000402,985,997,1394
37063000500,2291,2237,2107
37063000600,3192,3416,4262
37063000700,1829,2075,1998
37063000900,1297,1300,784
37063001001,2582,2589,2018
37063001002,3022,3315,3043
37063001100,1802,2155,1252
37063001301,1077,922,554
37063001303,1341,1260,838
37063001304,1711,1728,1416
37063001400,1747,1668,1630
37063001501,34,43,47
37063001502,3388,3441,2937
37063001503,,8,79
37063001601,2934,3906,4072
37063001603,3124,3818,4017
37063001604,3466,3750,4659
37063001705,3089,3016,3107
37063001706,2266,2569,2826
37063001707,2975,4462,5267
37063001708,1816,1812,2349
37063001709,1758,2608,3065
37063001710,2033,2097,2764
37063001711,2596,2496,2737
37063001801,3339,3799,3803
37063001802,3060,3718,3858
37063001806,1388,1980,3570
37063001807,2818,4021,5566
37063001808,1322,1992,2765
37063001809,1416,2133,4069
37063001900,1198,1322,1757
37063002007,3065,3466,3998
37063002008,1642,2049,2174
37063002009,3040,3270,3413
37063002013,2581,2931,3094
37063002015,2789,3347,3041
37063002016,1857,2466,3468
37063002017,2669,3436,4640
37063002018,2588,3811,5626
37063002019,996,2907,2968
37063002020,534,1557,3576
37063002021,554,1617,2895
37063002022,1006,2936,3105
37063002023,1407,2061,2242
37063002024,2352,3445,4238
37063002025,1910,2786,3592
37063002026,1402,2045,3426
37063002027,1529,2507,4618
37063002028,564,924,3420
37063002100,2722,4103,6278
37063002200,858,895,1364
37063002300,1000,1214,988
37063980100,151,247,81
