id,2005-2009,2010-2014
370630001011,6.305,6.305
370630001012,9.455,9.455
370630001021,12.925,12.925
370630001022,9.75,9.75
370630002001,4.305,4.305
370630002002,5.555,5.555
370630002003,4.87,4.87
370630003011,5.095,5.095
370630003012,3.64,3.64
370630003013,3.785,3.785
370630003021,3.895,3.895
370630003022,5.57,5.57
370630003023,7.665,7.665
370630004011,4.49,4.49
370630004012,4.655,4.655
370630004013,3.47,3.47
370630004021,9.815,9.815
370630005001,5.775,5.775
370630005002,2.92,2.92
370630005003,6.445,6.445
370630005004,5.325,5.325
370630006001,12.155,12.155
370630006002,11.14,11.14
370630006003,2.59,2.59
370630007001,3.59,3.59
370630007002,5.15,5.15
370630007003,5.41,5.41
370630009001,4.005,4.005
370630009002,4.335,4.335
370630010011,4.39,4.39
370630010012,6.495,6.495
370630010013,6.445,6.445
370630010021,15.225,15.225
370630010022,3.935,3.935
370630010023,4.23,4.23
370630010024,6.48,6.48
370630011001,9.735,9.735
370630011002,6.39,6.39
370630013011,5.64,5.64
370630013031,15.605,15.605
370630013032,2.775,2.775
370630013041,12.785,12.785
370630014001,4.92,4.92
370630014002,8.125,8.125
370630015011,15.35,15.35
370630015021,11.955,11.955
370630015022,5.12,5.12
370630015023,10.585,10.585
370630015024,2.27,2.27
370630015031,9.705,9.705
370630016011,5.62,5.62
370630016012,14.92,14.92
370630016013,8.49,8.49
370630016031,3.19,3.19
370630016032,13.12,13.12
370630016033,6.135,6.135
370630016034,8.91,8.91
370630016041,9.895,9.895
370630016042,14.21,14.21
370630016043,9.12,9.12
370630017051,8.055,8.055
370630017052,7.675,7.675
370630017053,6.865,6.865
370630017061,11.55,11.55
370630017062,9.345,9.345
370630017071,5.34,5.34
370630017072,8.005,8.005
370630017073,3.135,3.135
370630017074,8.72,8.72
370630017075,7.225,7.225
370630017081,19.945,19.945
370630017091,4.855,4.855
370630017092,4.875,4.875
370630017093,20.815,20.815
370630017101,12.905,12.905
370630017102,10.62,10.62
370630017111,6.525,6.525
370630017112,8.08,8.08
370630017113,7.91,7.91
370630018011,9.45,9.45
370630018012,3.29,3.29
370630018013,12.75,12.75
370630018014,6.395,6.395
370630018015,3.73,3.73
370630018021,10.165,10.165
370630018022,8.145,8.145
370630018023,10.88,10.88
370630018024,4.49,4.49
370630018061,8.71,8.71
370630018062,19.65,19.65
370630018071,16.33,16.33
370630018072,17.25,17.25
370630018073,13.5,13.5
370630018081,10.4,10.4
370630018082,14.83,14.83
370630018091,12.42,12.42
370630018092,13.32,13.32
370630019001,3.645,3.645
370630019002,10.59,10.59
370630020071,8.66,8.66
370630020072,11.53,11.53
370630020073,4.08,4.08
370630020081,4.8,4.8
370630020082,9.735,9.735
370630020091,9.52,9.52
370630020092,5.595,5.595
370630020093,8.31,8.31
370630020131,7.765,7.765
370630020132,4.49,4.49
370630020133,10.15,10.15
370630020151,11.265,11.265
370630020152,10.915,10.915
370630020153,3.455,3.455
370630020161,16.14,16.14
370630020162,10.78,10.78
370630020171,11.54,11.54
370630020172,6.695,6.695
370630020173,15.035,15.035
370630020181,11.635,11.635
370630020182,13.505,13.505
370630020183,12.275,12.275
370630020191,6.995,6.995
370630020192,7.68,7.68
370630020193,7.365,7.365
370630020201,10.16,10.16
370630020202,19.31,19.31
370630020211,15.08,15.08
370630020212,7.08,7.08
370630020221,9.11,9.11
370630020222,12.425,12.425
370630020231,5.975,5.975
370630020232,8.065,8.065
370630020241,17.91,17.91
370630020242,5.165,5.165
370630020243,6.165,6.165
370630020251,10.57,10.57
370630020252,12.32,12.32
370630020253,6.8,6.8
370630020261,11.325,11.325
370630020262,17.74,17.74
370630020271,7.365,7.365
370630020272,20.82,20.82
370630020273,8.175,8.175
370630020281,11.23,11.23
370630020282,5.915,5.915
370630020283,12.86,12.86
370630021001,11.35,11.35
370630021002,10.965,10.965
370630021003,9.495,9.495
370630022001,9.73,9.73
370630023001,5.77,5.77
370630023002,0.885,0.885
370639801001,0.02,0.02
