id,y_1990,y_2000,y_2010
37063000101,304,451,399
37063000102,687,705,769
37063000200,672,761,882
37063000301,377,304,679
37063000302,1173,1239,1417
37063000401,799,996,1137
37063000402,288,423,990
37063000500,706,627,487
37063000600,1864,1710,1571
37063000700,1007,1158,1159
37063000900,76,69,96
37063001001,209,112,147
37063001002,249,275,176
37063001100,21,109,40
37063001301,211,148,65
37063001303,350,357,142
37063001304,291,202,207
37063001400,168,231,188
37063001501,32,43,0
37063001502,1460,1283,1011
37063001503,0,8,13
37063001601,773,1345,1606
37063001603,856,1471,1712
37063001604,1435,1661,2167
37063001705,811,957,1188
37063001706,1334,1618,1758
37063001707,1073,2001,2637
37063001708,616,567,644
37063001709,166,361,798
37063001710,518,693,694
37063001711,796,908,530
37063001801,400,716,675
37063001802,223,837,886
37063001806,195,553,971
37063001807,397,1124,1600
37063001808,139,575,1168
37063001809,150,616,1983
37063001900,136,233,751
37063002007,1901,2191,2245
37063002008,1150,1641,1626
37063002009,509,705,846
37063002013,1191,1585,1724
37063002015,1512,1649,1390
37063002016,1044,1142,1327
37063002017,1686,2456,3527
37063002018,1672,2894,3897
37063002019,529,1931,2441
37063002020,284,1034,2819
37063002021,295,1074,1944
37063002022,535,1950,1945
37063002023,999,1523,1635
37063002024,1670,2546,3257
37063002025,842,1316,1979
37063002026,618,966,1173
37063002027,448,1243,2719
37063002028,165,458,2094
37063002100,535,1516,2070
37063002200,206,269,514
37063002300,111,67,69
37063980100,44,123,25
