id,2005-2009,2010-2014
37063000101,30,27
37063000102,43,52
37063000200,20,
37063000301,,
37063000302,23,
37063000401,26,23
37063000402,,
37063000500,28,35
37063000600,36,32
37063000700,44,33
37063000900,,26
37063001001,32,24
37063001002,52,47
37063001100,48,43
37063001301,,
37063001303,30,26
37063001304,34,37
37063001400,23,25
37063001501,,
37063001502,33,32
37063001503,,
37063001601,54,64
37063001603,72,59
37063001604,63,70
37063001705,78,70
37063001706,20,21
37063001707,85,95
37063001708,25,41
37063001709,65,65
37063001710,42,35
37063001711,22,
37063001801,75,68
37063001802,37,54
37063001806,56,42
37063001807,48,81
37063001808,28,37
37063001809,30,33
37063001900,27,26
37063002007,48,47
37063002008,34,
37063002009,65,78
37063002013,33,41
37063002015,27,51
37063002016,,
37063002017,82,85
37063002018,44,52
37063002019,49,40
37063002020,23,24
37063002021,,28
37063002022,,22
37063002023,20,20
37063002024,25,29
37063002025,33,29
37063002026,29,51
37063002027,30,37
37063002028,,
37063002100,49,67
37063002200,,
37063002300,,
37063980100,,
