id,2005-2009,2010-2014
37063000101,41,40
37063000102,50,45
37063000200,28,26
37063000301,20,24
37063000302,27,30
37063000401,42,41
37063000402,,
37063000500,90,65
37063000600,47,45
37063000700,51,60
37063000900,21,28
37063001001,52,37
37063001002,47,53
37063001100,48,52
37063001301,24,28
37063001303,48,40
37063001304,49,35
37063001400,25,37
37063001501,,
37063001502,53,53
37063001503,,
37063001601,80,81
37063001603,97,86
37063001604,78,72
37063001705,103,87
37063001706,24,21
37063001707,159,175
37063001708,32,56
37063001709,168,131
37063001710,57,47
37063001711,36,21
37063001801,91,98
37063001802,59,77
37063001806,58,58
37063001807,74,68
37063001808,45,48
37063001809,38,42
37063001900,36,32
37063002007,74,66
37063002008,25,29
37063002009,83,91
37063002013,31,45
37063002015,32,68
37063002016,,
37063002017,126,84
37063002018,50,45
37063002019,71,56
37063002020,,25
37063002021,25,35
37063002022,25,26
37063002023,30,28
37063002024,32,34
37063002025,42,22
37063002026,47,58
37063002027,29,44
37063002028,,
37063002100,66,82
37063002200,,
37063002300,,
37063980100,,
