id,y_1990,y_2000,y_2010
37063000101,95507,104532,106800
37063000102,109883,115022,129800
37063000200,120292,146496,176700
37063000301,89228,102130,134600
37063000302,153340,189597,222100
37063000401,133958,168933,243500
37063000402,96829,114138,167300
37063000500,72319,95893,115000
37063000600,169214,192617,198700
37063000700,181430,202490,268600
37063000900,68739,66486,74300
37063001001,76034,85858,76700
37063001002,89724,95684,87000
37063001100,61964,86077,78600
37063001301,83281,87974,85500
37063001303,100629,105163,91500
37063001304,99473,103899,100400
37063001400,85258,82044,84700
37063001501,111535,,
37063001502,92037,78367,166400
37063001503,,,
37063001601,152679,170006,161900
37063001603,153340,172660,191300
37063001604,212337,213108,213900
37063001705,137932,143209,144600
37063001706,159784,173798,179300
37063001707,160280,189218,198500
37063001708,125438,127915,146500
37063001709,90385,103773,134700
37063001710,139624,139292,144100
37063001711,119797,112621,118300
37063001801,112695,125137,132000
37063001802,102612,113506,115000
37063001806,135990,143841,158700
37063001807,135990,143841,145300
37063001808,136653,167478,209700
37063001809,136657,167469,186100
37063001900,146730,157366,185900
37063002007,169037,191241,220000
37063002008,358729,373886,400600
37063002009,98215,106000,113400
37063002013,141773,160399,163700
37063002015,147131,165404,162000
37063002016,155303,186564,215400
37063002017,217771,251912,310100
37063002018,193683,211869,304500
37063002019,196291,216015,263100
37063002020,196291,216015,316000
37063002021,196291,216015,225800
37063002022,196291,216015,189900
37063002023,201424,192505,218200
37063002024,201424,192505,200500
37063002025,140286,148644,175900
37063002026,140286,148646,133500
37063002027,138469,161031,189200
37063002028,138469,161031,191300
37063002100,169698,233079,241000
37063002200,91983,136444,152600
37063002300,87950,77286,60600
37063980100,138469,161031,68500
