id,y_1970,y_1980,y_1990,y_2000,y_2010,y_2015
37063000101,3406,3071,2881,3151,3152,2895
37063000102,4039,3640,3637,4462,4535,4445
37063000200,2711,2605,2802,3116,2946,3190
37063000301,2981,2409,2337,2432,2504,2552
37063000302,3695,3246,3352,3449,3426,3478
37063000401,3163,2525,2477,2665,2523,2882
37063000402,1872,2175,1440,1461,1963,2021
37063000500,4341,4101,3942,4213,4093,3477
37063000600,4680,4595,4529,5163,5177,6148
37063000700,2484,2281,2660,2854,2830,3480
37063000900,2996,2174,1967,2198,1668,2176
37063001001,5198,4426,4416,4908,3466,4330
37063001002,4137,5038,4897,6050,5974,5925
37063001100,3469,2987,2731,3727,3225,3335
37063001301,2219,1705,1524,1407,1128,1292
37063001303,3527,3283,3649,3642,3676,3465
37063001304,4020,3743,2843,2882,2557,2798
37063001400,3621,3234,3084,3413,2609,2460
37063001501,4119,4663,4600,3008,3070,2836
37063001502,3315,3783,5188,6122,5986,6441
37063001503,615,696,0,1694,1941,1621
37063001601,1640,3816,4349,5516,5806,5838
37063001603,1602,4413,4813,5540,6271,6255
37063001604,1527,4205,5311,5350,6645,6777
37063001705,2261,3367,4256,4073,4519,4735
37063001706,992,1395,3212,3847,4179,4808
37063001707,2715,3867,4295,5903,6485,6914
37063001708,1377,2239,3070,2720,3989,5414
37063001709,1766,2832,3104,4509,6109,6489
37063001710,1116,1617,2993,3171,4705,4244
37063001711,1148,1668,4066,3796,4503,4700
37063001801,4549,5076,4767,5507,7123,8008
37063001802,2891,4032,5334,6410,6736,6857
37063001806,1419,1796,1979,2943,5672,5674
37063001807,2881,3648,4018,5977,9416,9292
37063001808,1292,1644,1924,2906,5046,7118
37063001809,1385,1762,2060,3111,5148,6096
37063001900,1274,1888,1757,1616,2847,3011
37063002007,1955,2593,4387,4706,4854,4864
37063002008,1697,2251,2317,2817,2907,3069
37063002009,2570,3283,4649,4799,4685,4403
37063002013,297,394,4123,4336,4481,4683
37063002015,540,2772,4041,5355,5127,5446
37063002016,412,2120,2909,4010,5384,5833
37063002017,2762,2382,3592,4869,6654,7450
37063002018,2609,2302,3882,5266,7483,8202
37063002019,812,1077,1386,4098,4408,4750
37063002020,435,577,742,2195,5894,6902
37063002021,452,599,771,2280,4432,4476
37063002022,820,1088,1400,4139,4307,4616
37063002023,428,666,2137,2935,2808,3144
37063002024,716,1113,3572,4906,5848,6139
37063002025,1432,2247,2838,4123,5938,6583
37063002026,1051,1650,2083,3027,5813,6385
37063002027,2262,3004,2295,3415,7272,8942
37063002028,834,1107,846,1259,6001,7083
37063002100,2822,2716,4112,5821,6362,9247
37063002200,1519,1054,1247,1267,1946,1758
37063002300,3592,1839,2009,2433,1331,1365
37063980100,223,296,226,337,4,0
