id,y_1970,y_1980,y_1990,y_2000,y_2010
37063000101,11,10,14,52,50
37063000102,14,11,32,55,72
37063000200,9,14,23,35,32
37063000301,4,19,22,41,75
37063000302,16,27,32,86,118
37063000401,5,12,8,51,112
37063000402,11,21,16,24,128
37063000500,8,56,107,225,292
37063000600,30,55,85,100,168
37063000700,7,18,14,21,71
37063000900,2,0,0,0,10
37063001001,12,3,7,5,11
37063001002,6,10,5,12,21
37063001100,14,0,0,2,6
37063001301,3,1,1,1,4
37063001303,8,2,3,5,8
37063001304,9,2,0,2,2
37063001400,3,1,1,1,3
37063001501,38,101,284,485,970
37063001502,27,67,514,813,912
37063001503,6,15,0,263,451
37063001601,0,22,35,138,180
37063001603,0,17,43,99,278
37063001604,0,16,64,124,225
37063001705,1,17,68,89,174
37063001706,3,15,114,255,370
37063001707,6,37,73,152,264
37063001708,0,3,6,18,72
37063001709,1,3,11,25,62
37063001710,0,16,91,121,196
37063001711,0,16,43,101,78
37063001801,2,3,15,15,34
37063001802,1,1,39,28,40
37063001806,1,2,15,26,45
37063001807,2,5,30,54,166
37063001808,1,3,3,61,197
37063001809,1,3,4,66,144
37063001900,1,2,0,5,112
37063002007,9,21,100,177,185
37063002008,8,19,41,78,107
37063002009,6,3,5,12,16
37063002013,1,5,119,256,234
37063002015,1,44,179,361,311
37063002016,1,33,87,291,463
37063002017,7,62,102,237,694
37063002018,7,59,141,282,572
37063002019,1,13,31,299,341
37063002020,1,7,16,160,687
37063002021,1,7,17,167,523
37063002022,1,13,31,302,316
37063002023,1,1,100,238,169
37063002024,2,2,167,398,502
37063002025,4,3,52,253,463
37063002026,3,2,39,186,201
37063002027,4,35,81,478,754
37063002028,1,13,30,176,742
37063002100,9,4,14,47,92
37063002200,9,2,4,16,68
37063002300,4,2,4,5,1
37063980100,0,3,8,47,0
