id,y_1970,y_1980,y_1990,y_2000,y_2010
37063000101,170,589,1349,1704,1664
37063000102,201,698,692,1417,1606
37063000200,416,837,1218,1564,1151
37063000301,1370,1226,1364,1299,989
37063000302,120,453,827,878,523
37063000401,4,73,150,387,230
37063000402,385,473,203,229,166
37063000500,2489,2292,2333,2385,1895
37063000600,96,890,1370,1841,1335
37063000700,299,471,873,1087,970
37063000900,2865,2110,1916,1732,1127
37063001001,1410,2170,3329,3680,2309
37063001002,280,2624,3443,3884,3057
37063001100,2138,2319,2288,2591,2154
37063001301,2211,1694,1511,1334,1012
37063001303,3506,3237,3591,3583,3441
37063001304,3997,3690,2783,2370,2195
37063001400,3609,3188,3051,3224,2356
37063001501,753,804,202,234,358
37063001502,630,708,2111,2484,2028
37063001503,112,120,0,172,243
37063001601,158,628,724,1298,1661
37063001603,154,249,274,640,1096
37063001604,147,237,502,663,1140
37063001705,24,91,370,795,1251
37063001706,22,50,324,746,984
37063001707,40,119,99,360,518
37063001708,457,1670,2337,2201,3142
37063001709,589,2130,2556,3820,4587
37063001710,12,262,704,1395,1960
37063001711,13,258,1298,1733,2201
37063001801,1094,1076,1049,2439,3629
37063001802,691,1997,3158,4218,4444
37063001806,79,95,237,1212,2681
37063001807,160,192,482,2461,5612
37063001808,59,77,66,568,1783
37063001809,63,83,72,608,2076
37063001900,201,136,78,94,311
37063002007,94,421,1420,1506,1589
37063002008,82,366,47,178,213
37063002009,2399,3106,4601,4548,3964
37063002013,37,62,607,1127,1247
37063002015,20,725,1326,1606,1385
37063002016,15,554,1270,1400,1626
37063002017,100,94,138,312,527
37063002018,95,104,341,595,1097
37063002019,101,169,347,1053,565
37063002020,54,91,186,564,1409
37063002021,56,94,193,586,1465
37063002022,102,171,350,1064,1526
37063002023,360,593,252,605,793
37063002024,602,992,420,1011,1092
37063002025,1273,2095,1696,2598,2711
37063002026,934,1537,1244,1907,4083
37063002027,277,464,459,851,3222
37063002028,102,171,169,314,2214
37063002100,1148,675,537,795,929
37063002200,754,675,839,734,656
37063002300,3586,1798,1964,2247,1088
37063980100,27,46,45,84,1
